local-authority-code,public_sector_by_wpop,transport_by_wpop,pop_density,domestic_by_pop,industry_by_gdp,commerical_by_gdp,agriculture_by_gdp
NLN,6.860888768529069e-05,0.0015153110974363722,203.95277449822905,0.0014600008692925185,0.06543444117486429,0.007809698753141369,0.003368825591608294
CAT,0.00033393945147069335,0.00113264023428942,539.6828478964401,0.0012192427355894797,0.005539359047235047,0.011260705596315864,0.0022257582914348394
WEA,9.963382699434846e-05,0.0017527590996956844,195.3577430972389,0.0015616996947356875,0.01234829430934192,0.007906929709784793,0.00788911756406716
AND,0.00012948494655637367,0.0010671941462580311,286.31802120141344,0.0022080411557836984,0.029944133116598246,0.010079912884976864,0.006790906663879176
ARU,9.760419211391237e-05,0.001119379957030526,729.0633484162896,0.0013661170462736913,0.01533603517398995,0.011363128443753466,0.003391630265555961
SCA,0.00010161416285869866,0.002404123127497363,178.38580931263857,0.00147226131330398,0.021360984323628065,0.012577216015713419,0.00261875308096294
FAL,0.00018667963556526606,0.0011234859017747651,540.6060606060606,0.0014043813501656188,0.022606279282814,0.0069935746221279045,0.0018783774618092754
RDG,0.00022924445709584005,0.0006260644856620577,4008.425,0.0012165297159379513,0.0036191219320739734,0.008564892654250296,6.841728249614948e-05
NEL,0.00014247597612084765,0.00143016383744382,825.720207253886,0.0014207642126309195,0.09373302355892343,0.013338166349492142,0.0008847507543819121
WBK,0.00024088528796284328,0.0016222881937659362,225.09232954545453,0.001519498131246975,0.01498518555700707,0.00474645154594908,0.0017629093831457014
KEC,0.0003827142027814426,0.0008787983654297111,5458.178571428572,0.0014256819228499363,0.0038499729102395683,0.01852724491001461,0.00010305976189823865
FLN,6.033650563676013e-05,0.0019140882756599423,356.4704545454546,0.0015116455003978714,0.05591760522632177,0.01212101447378674,0.003685226330827888
NWP,0.00010176549309629516,0.0013116836628055352,823.4052631578948,0.001304192275051761,0.049199581069214744,0.011549738612926038,0.0014570428144527303
DAC,0.0001614303848450998,0.0011934531178585306,733.2877358490566,0.001399047906718034,0.007278294075254685,0.014161992417481773,0.0009515355296321233
BRA,9.104344617468199e-05,0.001812318554335043,250.1486928104575,0.0013734272112388194,0.020496829875195348,0.006249206073251566,0.0022559077725047188
KWL,0.00011949205791808336,0.0014651549499704408,1752.3218390804598,0.00123596600777495,0.03316186096614138,0.0061471289765588685,0.00039060193274168854
MSS,0.00012820038118695277,0.0015456897188043208,455.5149700598802,0.001425677252113788,0.012905624637031161,0.0081304770363082,0.0026168742956422823
PKN,0.00022864766278230572,0.002230528681970344,69.83638211382114,0.0016795412059493376,0.009244021074437258,0.009723230283018355,0.011660905128378309
CHR,0.00017627608556111842,0.001746188636633104,257.8030560271647,0.0014464079403660236,0.03571446911182588,0.009894941572378671,0.0027060696399693915
EHE,0.0001322792762182787,0.0015404320435669974,318.8781512605042,0.0014210464274953842,0.013157317065291389,0.012102924945888443,0.002656814961755095
OXO,0.000590125281512483,0.0007134698816308802,3295.304347826087,0.0011367100621330001,0.009702635748265223,0.012325324131329148,0.00011668231764464353
WNM,0.0001625995625145372,0.001237704301285836,767.8832487309645,0.0015593640005930741,0.003834463498274192,0.009225097805486427,0.00047123250112970634
KIN,8.500768271178899e-05,0.0021048595805844604,105.03125,0.0015187736192555526,0.07702696668752891,0.03850744016199453,0.006490077556573821
STY,0.00015925233675511582,0.000983225899647425,2361.453125,0.0013700914086809818,0.015218152002363218,0.010470955008913051,0.0003903049898169318
DRS,0.0002673174518382903,0.0015047219244142165,120.79056754596323,0.0019368898826423319,0.0766750302356605,0.0059037844344027235,0.011369375440592808
SWL,0.00010521752059745301,0.0012291400228810168,404.8659517426274,0.0012186260835162885,0.04486641701811423,0.012015599343463685,0.004066398870259206
GRT,0.00027858981108131863,0.001945858524479479,554.8044280442805,0.0014151613741461794,0.004811077476724517,0.008601970141048094,0.0008418297333106612
BBD,0.0001903834916064507,0.0007492926296063404,1095.109489051095,0.001330845923999956,0.031188191305666014,0.010802263115396159,0.0006312377340208994
SLG,0.00019789593669383858,0.0005391135807315973,4532.636363636364,0.0010060250497800816,0.0084848822531087,0.023107966602544938,5.389502293990733e-05
SAL,0.00011474213182145708,0.0011998525132515992,927.4347826086956,0.0015151150762714623,0.005738439207298805,0.009528359384605816,0.0008494514772791297
REI,0.00019860366729000764,0.0010700077723336332,1156.922480620155,0.0015191238284909916,0.008540747585946088,0.005796579279372618,0.0004259174838315066
MUL,4.144619491030167e-05,0.002332737554712064,81.35062807209175,0.0017975315252160343,0.06870195034957868,0.0031283648139399448,0.019591393434137586
DND,0.0004395607367065366,0.0011184478428941755,2480.3333333333335,0.0012947241884942796,0.009769202040607067,0.029858303725709672,0.000149496458269157
DGY,0.00011705805008923331,0.001630759977051292,69.83638211382114,0.0017064015042530392,0.03332116951205645,0.01308830218125583,0.037681800816664654
LAC,0.00023167115299852533,0.001168916361669004,261.23280423280426,0.0013466355275695392,0.022101192567677216,0.009035525059824407,0.007062143421393173
EDE,7.979995878572663e-05,0.0013774181910220726,181.9164619164619,0.0013383750300360994,0.010153272416878278,0.008561080018855149,0.009674346670192296
BGE,0.00010752324514472819,0.0011671589067781749,587.8047808764941,0.0013769260971582958,0.0425344728908381,0.008213885529651464,0.0017215360444644294
TEN,8.375540518725749e-05,0.0013752833268726988,438.55059523809524,0.001434516028405094,0.02537089205861524,0.012981160131624118,0.0035834281552069363
LBC,0.0003989483031040241,0.0013906193686424842,289.4308300395257,0.0020299222866483396,0.04272592609746164,0.007576443224842069,0.0037511314336510747
HOR,8.648191454671416e-05,0.0015949088809971929,274.4792452830189,0.0014770671705794669,0.018806843635854595,0.007260143903098412,0.005391851172612064
CCG,7.67183793632235e-05,0.0023069044365021524,72.98237663645519,0.002095201205689829,0.057049575859259044,0.010047774928317103,0.03006923492323559
WAW,0.00017097915929345354,0.001742440100838187,512.0459363957597,0.0013849953421786892,0.00786275320449121,0.007028314462420558,0.0008770745737539898
NTL,0.00011614957580457163,0.0010188506270955705,327.40589569161,0.0014396344673723639,0.07893730797870703,0.010201391644166145,0.0023370102968768725
PRE,0.0003193237173335879,0.0009869046795933027,1015.1197183098592,0.0013240914694300136,0.015495549044656958,0.015236746967528206,0.001359521522699019
SOX,0.00012805573614344112,0.001447235560826587,211.75552282768777,0.0015747478698537685,0.01561442643792273,0.012250622041165428,0.004901332143593457
ANN,0.0001606805474556349,0.0014454914521477486,251.76182136602452,0.002015550368737785,0.15063732230758545,0.0073376532877703305,0.006738058403219587
SKE,0.00010614963034235378,0.0018662292625449147,151.88229056203605,0.0014203700874425532,0.03150996784843069,0.013775741131081464,0.005810700914832598
SNO,0.00014159808120435273,0.002232618143600713,157.56167400881057,0.0014103446990099261,0.024443502379008893,0.007250789185174089,0.010384918716299475
IOW,0.0001600647092704597,0.0007221081746876946,374.46315789473687,0.0013482550010013763,0.025436027611073355,0.017732164234595227,0.004610930114143403
NOW,0.0002807701033292177,0.0007670417678950641,3645.5641025641025,0.0011674490264964928,0.011730716207251902,0.009681958184258465,0.00013765626752022334
ELI,9.111912432142449e-05,0.0016576794835330947,80.37917374080362,0.0015338997408900009,0.023524031660357343,0.016083891954071176,0.013021980982578597
THA,0.00010738383645916547,0.0008281077498476261,1360.173076923077,0.0012941647865821553,0.011173519121788829,0.013196562509138744,0.03988275624291843
MDB,0.00028527717265244953,0.0017616126511912067,2616.3888888888887,0.0013196704332432108,0.016351233492641018,0.007180533967227517,0.00029934839748603053
BRE,7.650900026739577e-05,0.0021046348937742696,108.24137931034483,0.001384852657126248,0.030115119440581997,0.0075870927276247245,0.006784016110320003
MEA,4.0646134164839954e-05,0.0016962993682969117,131.67422096317281,0.0020553303241402365,0.13971180710039346,0.004061908281639199,0.013845622384854046
BPL,0.0002480456180973529,0.0009150159857741134,3953.7428571428572,0.0014912415650014392,0.01023049307519927,0.013327040026768565,9.932437618052943e-05
VAL,0.0001843316142840734,0.0021800703256456273,238.59861591695503,0.0014288134505302797,0.018501015451895284,0.009876446136713223,0.0032336773428675823
STA,0.00022221895839591593,0.001578334219608268,230.53177257525084,0.0014387354798784911,0.014162146223758712,0.01019254130694156,0.007870017488476912
RCC,8.87065342335242e-05,0.0013122058871705153,560.1142857142858,0.0014707101048327725,0.14848633335373854,0.022669443727355264,0.001943354115523991
ELM,0.00015594424999329143,0.0014085217518384873,1444.3684210526317,0.001742723684915233,0.003195781480818356,0.00813567823527067,0.0003043805579132486
TOB,0.00019915243734682143,0.0009242727398662636,2162.190476190476,0.0012373109704187613,0.01169130145488361,0.020554079872720718,0.0006488654089341596
WRX,0.00011628697871822753,0.0014495920423408897,269.9503968253968,0.0013940333487855124,0.06673892876401251,0.020299417035644918,0.01996189748112225
IPS,0.00017986085731910398,0.0007156415694954619,3399.475,0.001196388887489569,0.0076890820913460365,0.0068359120458690095,0.00015993470898464972
EAT,9.932183120944546e-05,0.0008220447608930252,1694.0,0.0012206759719986997,0.011369126858743252,0.007736651674205337,0.00133061650154424
VGL,0.00019045078876864718,0.0013287697840464318,408.7462235649547,0.0014048830892754256,0.029860600312853505,0.010203928186228157,0.006671932719196201
TEI,8.064986114962617e-05,0.0021188076344635085,200.3545994065282,0.00126130093463208,0.029596847537105744,0.008352592727900836,0.0068608520092453325
NAY,0.00011504275664925596,0.0009679664875157427,151.6949152542373,0.001461004128127828,0.07699025409452105,0.04289939562684319,0.005421226651414256
NHE,8.594967234392729e-05,0.0014006651166884455,355.90133333333335,0.0013968387739910885,0.018166963165663103,0.007090819175559987,0.0016861806522164428
EXE,0.0003509758959551132,0.0005275201663800982,2836.872340425532,0.0009693639929026759,0.007113590148876428,0.008710050738797607,0.001286755533702898
POW,8.541312579245445e-05,0.0020313165172182873,69.83638211382114,0.00182901206776053,0.027329593772174476,0.0077559982340100675,0.043631670731556396
